OI,Chng in OI,Volume,IV,LTP,Net Chng,Bid Qty,Bid Price,Ask Price,Ask Qty,Strike Price,Bid Qty,Bid Price,Ask Price,Ask Qty,Net Chng,LTP,IV,Volume,Chng in OI,OI
150,150,2,-,2.00,"-1,066.15",300,1.00,4.90,"3,000",11250.00,"7,425","2,348.05","2,789.40","7,425",-,-,-,-,-,-
-,-,-,-,-,-,750,0.70,4.75,"3,150",11300.00,"7,425","2,396.05","2,840.50","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"10,050",0.55,4.30,"3,000",11350.00,"7,425","2,442.20","2,901.40","7,425",-,-,-,-,-,-
"14,325","14,325","1,151",89.31,0.70,-930.25,"1,650",0.70,1.35,"1,350",11400.00,"7,425","2,483.45","2,966.10","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"10,050",0.55,3.50,"3,000",11450.00,"7,425","2,525.15","3,020.50","7,425",-,-,-,-,-,-
"221,925","199,875","12,142",91.48,0.75,-1.10,"4,875",0.75,0.80,"3,075",11500.00,"7,425","2,570.70","3,215.20","7,425",-,-,-,-,-,-
-,-,-,-,-,-,75,0.50,4.30,"3,000",11550.00,"7,425","2,611.35","3,123.60","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"5,025",0.35,3.50,"3,000",11600.00,"7,425","2,661.45","3,157.50","7,425",-,"1,200.00",-,-,-,75
-,-,-,-,-,-,300,0.40,4.00,"3,000",11650.00,"7,425","2,707.85","3,220.00","7,425",-,-,-,-,-,-
600,600,14,-,0.70,-674.60,75,0.70,3.00,"3,150",11700.00,"7,425","2,772.40","3,269.00","7,425",-,-,-,-,-,-
-,-,-,-,-,-,300,0.40,3.50,"3,000",11750.00,"7,425","2,812.40","3,325.65","7,425",-,-,-,-,-,-
900,900,829,102.63,1.30,-596.20,525,0.60,1.50,"7,200",11800.00,"7,425","2,823.60","3,375.65","7,425",-,-,-,-,-,-
-,-,-,-,-,-,300,0.40,3.50,"3,000",11850.00,"7,425","2,868.70","3,443.50","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"5,025",0.20,3.00,"3,150",11900.00,"7,425","2,947.15","3,488.60","7,425",-,-,-,-,-,-
-,-,-,-,-,-,300,0.40,3.30,"3,000",11950.00,"7,425","2,962.85","3,545.05","7,425",-,-,-,-,-,-
"683,175","75,075","48,418",96.75,0.40,0.15,75,0.40,0.45,"10,725",12000.00,"7,425","3,031.75","3,613.45","7,425",-,-,-,-,-,-
"1,050",975,20,106.49,0.45,-50.10,"4,950",0.45,2.00,"3,000",12050.00,"7,425","3,074.15","3,651.95","7,425",-,-,-,-,-,-
-,-,-,-,-,-,75,0.55,2.40,"3,000",12100.00,"7,425","3,174.05","3,728.90","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"5,025",0.30,2.80,"3,000",12150.00,"7,425","3,227.30","3,776.85","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"5,025",0.30,2.40,"3,000",12200.00,"7,425","3,276.05","3,852.00","7,425",-,-,-,-,-,-
150,150,2,-,1.10,-307.40,300,1.10,2.20,"3,000",12250.00,"7,425","3,325.35","3,871.40","7,425",-,-,-,-,-,-
750,750,10,-,2.40,-280.80,750,0.50,2.50,"3,000",12300.00,"7,425","3,374.00","3,927.70","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"7,500",0.10,2.80,"3,000",12350.00,"7,425","3,319.90","3,995.75","7,425",-,-,-,-,-,-
"1,125","1,125",342,-,0.40,-236.50,375,0.40,0.75,525,12400.00,"7,425","3,432.30","4,050.70","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"7,500",0.10,2.40,"3,000",12450.00,"7,425","3,484.50","4,104.40","7,425",-,-,-,-,-,-
"92,250","53,400","10,296",107.54,0.60,-0.60,75,0.55,0.60,"13,425",12500.00,"7,425","3,526.65","4,157.00","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.60,"3,000",12550.00,"7,425","3,574.75","4,217.75","7,425",-,-,-,-,-,-
-,-,-,-,-,-,75,0.50,2.60,"3,000",12600.00,"7,425","3,619.85","4,274.45","7,425",-,-,-,-,-,-
-,-,-,-,-,-,75,0.50,2.80,"3,000",12650.00,"7,425","3,677.85","4,332.35","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.60,"3,000",12700.00,"7,425","3,715.55","4,387.25","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.80,"3,000",12750.00,"7,425","3,768.25","4,447.10","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.60,"3,000",12800.00,"7,425","3,823.65","4,502.50","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.80,"3,000",12850.00,"7,425","3,876.00","4,555.90","7,425",-,-,-,-,-,-
-,-,-,-,-,-,750,0.05,2.60,"3,000",12900.00,"7,425","3,931.60","4,612.75","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"10,050",0.10,2.30,"3,000",12950.00,"7,425","3,922.20","4,667.55","7,425",-,-,-,-,-,-
"91,425","76,800","10,532",117.79,0.40,-0.25,"1,500",0.35,0.45,75,13000.00,"7,425","4,021.85","4,729.90","7,425",-,-,-,-,-,-
-,-,798,-,0.65,-56.70,"1,500",0.05,2.60,"3,000",13050.00,"7,425","4,031.85","4,781.55","7,425",-,-,-,-,-,-
75,75,55,122.54,0.10,-50.30,450,0.15,2.25,"3,000",13100.00,"7,425","4,060.15","4,849.50","7,425",-,-,-,-,-,-
-,-,"2,408",124.76,1.00,-43.20,"3,000",0.55,2.00,"3,000",13150.00,"7,425","4,121.15","4,904.30","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.60,"3,000",13200.00,"7,425","4,174.25","4,969.30","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.80,"3,000",13250.00,"7,425","4,221.10","5,016.40","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.30,"3,000",13300.00,"7,425","4,262.25","5,083.80","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.80,"3,000",13350.00,"7,425","4,309.75","5,137.10","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.60,"3,000",13400.00,"7,425","4,362.55","5,192.80","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.50,"3,000",13450.00,"7,425","4,404.80","5,247.15","7,425",-,-,-,-,-,-
"31,500","28,950","9,024",126.73,0.50,-1.00,"3,075",0.40,0.50,"10,425",13500.00,"7,425","4,500.05","5,306.35","7,425","3,580.25","4,770.00",-,11,825,825
-,-,-,-,-,-,-,-,2.80,"3,000",13550.00,"7,425","4,500.30","5,364.00","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.00,"3,000",13600.00,"7,425","4,563.35","5,425.60","7,425",-,-,-,-,-,-
-,-,-,-,-,-,-,-,2.50,"3,000",13650.00,"7,425","4,609.70","5,481.25","7,425",-,-,-,-,-,-
"3,825","3,750",106,145.03,0.80,-2.25,300,0.65,0.80,"2,250",13700.00,"7,425","4,654.80","5,534.70","7,425",-,-,-,-,-,-
150,150,4,152.42,0.85,-7.05,75,0.20,0.85,75,13750.00,"7,425","4,631.35","5,602.45","7,425",-,-,-,-,-,-
